prompt;completion
Scalp Injury;When performing a secondary assessment of a person with a suspected scalp injury, check the scalp thoroughly to ensure that you have uncovered the full extent of the injury.1. Put dressings on the wound and have the person hold them in place to control the bleeding.2. Secure the dressings with a bandage. 3. If you feel a dip, a soft area, or pieces of bone:  Treat the injury as a head injury. Put direct pressure on the wound only if the bleeding is life-threatening. Otherwise, try to control the bleeding with pressure on the area around the wound. 4. Provide continual care until EMS personnel arrive.
Infection;An infection occurs when dirt, foreign bodies, or other materials carrying germs get into a wound. Infections can be localized (e.g., in a cut) or systemic (throughout the body). Infections accompanied by nausea, fever, or general malaise are typically systemic, and can be life-threatening.The following general tips help to minimize the risk of infection:Always wash your hands before and after giving first aid. Wear gloves whenever possible if you will be coming into contact with someone’s bodily fluids. Keep your immunizations up to date. If you have been wounded and do not know when your last tetanus shot was, seek medical attention. Keep any wound clean and wash it regularly. Change the dressing and bandages if they become dirty or wet. Use sterile dressings whenever possible. If sterile dressings are unavailable, use the cleanest option possible.Any of the following signs around an injury may indicate an infection:Redness.Red streaks moving away from the wound.Pus.Heat or warmth. Swelling. Tenderness. Excessive itchiness.
Burns;Burns are soft-tissue injuries caused by chemicals, electricity, heat, or radiation.There are different methods of prevention for different types of burns.
Chemical Burns;Chemical burns can be caused by a wet or dry caustic chemical. Use caution with dry caustic chemicals, as they may spread or react if they become wet.The following precautions will help prevent chemical burns: Store chemicals in their original containers. Wear protective gear when handling chemicals. Wash your hands after touching chemicals. Get trained in a hazardous materials training program, such as the Workplace Hazardous Materials Information System (WHMIS)/ Globally Harmonized System (GHS) of Classification and Labelling of Chemicals. Read the label before using a product. Be aware of caustic plants in your area.
Electrical Burns;The following tips will help prevent electrical burns: Keep electrical appliances away from water. If an electrical cord is frayed, fix it or dispose of it. If there are young children in the building, cover electrical outlets. Before approaching a person with a suspected electrical burn, make sure that trained personnel turn off the electrical current.
Burns from Lightning Strikes;The following precautions will help prevent burns from lightning strikes: As soon as a storm is seen or heard, stop swimming or boating and get away from the water, because water conducts electricity. Stay indoors during thunderstorms. A picnic shelter or car (with the windows rolled up) will also provide some protection. If caught outside, stay away from telephone poles and tall trees. Stay off hilltops and try to crouch down in a ravine or valley if shelters are not available nearby. Stay away from things that conduct electricity, such as farm equipment, small metal vehicles (e.g., motorcycles, bicycles, and golf carts), wire fences, clotheslines, metal pipes, and railings.
Thermal Burns;The following precautions will help prevent thermal burns: When cooking on the stove, turn the pot handles in and use only the back burners when possible. Keep the hot water tank temperature at or below 49°C (120°F). Keep children away from heat sources and appliances such as ovens, barbecues, space heaters, woodstoves, candles, and fireplaces. Keep hot drinks out of children’s reach. Thermal burns are caused by heat, hot liquid, steam, or open flames. The care that is required varies by the thickness of the burn, so you should determine the burn’s seriousness before beginning to provide care.
Sunburns;The following precautions will help prevent sunburns: Limit exposure to the sun between 10:00 a.m. and 3:00 p.m., if possible. Wear light coloured clothing that covers as much of the body as possible. Use a broad-spectrum sunscreen with a sun protection factor (SPF) of at least 30 and apply it 15 to 30 minutes before going outdoors. Reapply sunscreen at least every 2 hours, as well as after being in the water and after sweating.
Care for Sunburns;While the care for all burns is similar, specific care steps can vary depending on the cause of the burn. Care should be taken to monitor for hypothermia when cooling large burns. This is particularly important in children. Cover the person with a blanket if the person complains of feeling cold.
Superficial Burns;Cool the affected area with clean running or standing water for at least 10 minutes. A clean cool or cold (but not freezing) compress can be used as a substitute.
Partial Thickness Burns;What to Look For:Redness. Pain.  Possible swelling. Blisters. Cool the affected area with clean running or standing water for at least 10 minutes. A clean cool or cold (but not freezing) compress can be used as a substitute. 2. Remove jewellery and clothing from the burn site, but do not attempt to move anything that is stuck to the skin. 3. Once it is cool, cover the burn loosely with a dry, sterile dressing, preferably non-stick gauze. 4. Encourage the person to seek medical attention even if it is not necessary to call EMS/9-1-1.
Full Thickness Burns;Redness, Pain (may not be present in the most severely burned areas due to nerve damage), Possible swelling, Blisters, Charred or waxy, white flesh. 
Care for Thickness Burns;1. Stop the burn from worsening by cooling the affected area with clean running or standing water for at least 10 minutes. A clean, cool or cold (but not freezing) compress can be used as a substitute. 2. Remove jewellery and clothing from the burn site, but do not attempt to move anything that is stuck to the skin. 3. Once it is cool, cover the burn loosely with a dry, sterile dressing, preferably non-stick gauze. 4. Have the person lie down until EMS personnel arrive.
Chemical Burns. What to do?;1. Wear protective equipment to avoid being burned yourself. 2. If there are dry chemicals present, brush them off the person’s skin before flushing with water. 3. Flush the affected areas with large amounts of cool running water for at least 15 minutes, or until EMS personnel arrive. Flush the chemicals away from areas of the body that have not been contaminated. 4. Remove any clothing that is wet or that has been contaminated by the chemical. 5. Refer to the appropriate Material Safety Data Sheet (MSDS) for additional first aid measures, if it is available.
Electrical Burns;Electrical burns are caused by powerful electrical currents. They are typically caused by a person either touching a live electrical circuit or being struck by lightning. Because electricity and lightning can affect the heart, it is important to monitor the person’s ABCs closely.1. Treat the person as if he or she has a head and/or spinal injury. 2. Look for two burns (the entry and exit points) and care for them as you would care for thermal burns.
Radiation Burns;The most common type of radiation burn is a sunburn, but they can also be caused by exposure to radioactive substances.1. If the burn results from exposure to a radioactive substance, consult the appropriate workplace safety system (e.g., WHMIS) for specific first aid steps. 2. Care for radiation burns as you would care for thermal burns.
Special Considerations When Caring for Burns;Remember the following special considerations when providing care for burns: Don’t use ointments on partial or full thickness burns. Blisters are a natural cooling system. Leave them in place. Touch a burn only with sterile or clean dressings. Do not use absorbent cotton or pull clothes over any burned area. Pay close attention to the person’s airway. Look for signs of burn injuries around the face. If you suspect that the airway or the lungs may be burned, monitor the person’s breathing closely.
Bruises;A bruise is a discoloured area of the skin that is created when blood and other fluids seep into nearby tissues.The following are signs and symptoms of bruising: Discoloured skin (red, purple, black, or blue areas) Swelling Pain. 1. Using ice or another cold source, cool the injured area to help reduce pain and swelling. Place some sort of cloth, towel, or pad between the cold source and the skin to reduce the risk of freezing. 2. Apply the cold source for 20 minutes and then take it off for 20 to 30 minutes. Continue to do this for as long as the person keeps feeling pain.
Splinters;"A splinter (or ""sliver"") is a sharp, thin piece of material that is stuck in the surface of the skin. If the splinter is completely below the skin, encourage the person to seek medical attention rather than attempting to remove it yourself. 1. Gently grab the exposed end of the splinter with tweezers and carefully pull it out. 2. Wash the area with water and apply a bandage."
Nosebleeds;Nosebleeds may be caused by the following: Forceful nose blowing. High blood pressure. Dry weather conditions.Trauma to the nose or head. Bleeding disorders If you know that the bleeding is caused by an object in the nose, refer to the care for foreign objects in the nose.To prevent nosebleeds: Use a humidifier if the air indoors is dry. Wear protective athletic equipment when participating in sports that could cause injuries to the nose. Practice gentle nose blowing. Teach children not to pick their noses.
Care for Nosebleeding;1. Have the person sit with the head slightly forward, pinching the nostrils, for 10 to 15 minutes. If the nosebleed was caused by a severe head injury, do not pinch the nose. 2. Once you have controlled the bleeding, tell the person to avoid rubbing, blowing, or picking his or her nose because this could start the bleeding again. 3. If the person loses responsiveness, place him or her in the recovery position to allow blood to drain from the nose.
Foreign Objects in the Nose;An object in the nose may be visible, and may also cause the following signs and symptoms: Unusual noises when the person breathes through his or her nose.Bleeding.Nose deformity. 
Care for Foreign Objects in the Nose;1. If you can easily see and grasp the object, remove it. 2. If the object cannot be dislodged easily, leave it in place for a medical professional to remove. 3. Prevent the person from attempting to remove the object and from blowing his or her nose.
Knocked-Out Teeth;A tooth can be knocked out by any kind of blow that involves the mouth.The following tips may avoid an injury that results in knocked-out teeth:Wear appropriate equipment when playing sports, such as a mouth guard or face mask. Always wear a seat belt while in the car and do not eat or drink in a moving car. Aside from a tooth that is visibly missing, signs and symptoms of knocked-out teeth include the following: Bleeding (although this is often very minimal) Pain in the mouth.
Care for a person with Knocked-Out Teeth;1. Control any bleeding by having the person bite down on a clean dressing.2. Carefully pick up the tooth by the crown (the whiter part), not the root. 3. Put the tooth in propolis, egg white, coconut water, whole milk, or saline, if available, and keep it with the person. If none of these are available, wrap the tooth in gauze (or a clean cloth) with some of the person’s own saliva. Seal the container and label it with the name of the person, the date, and the time. 4. Get the person to a dentist as soon as possible. The greatest chance for repair is during the first hour after the tooth is knocked out.
Eye Injuries;Eye injuries can have long-term consequences for a person’s vision, so they must always be treated with extreme care. The eye is an extremely sensitive organ: Avoid touching the eye or putting pressure on or around it, as this can cause further damage. Wounds involving the eyelids or eye sockets should also be treated as eye injuries.An eye injury may be caused by the following:Foreign objects or particles in the eye, An impact to the eye,Radiation or burns, Chemicals or other caustic materials.The following may help to prevent an eye injury: Wearing appropriate equipment in the workplace (e.g., safety glasses),Wearing appropriate equipment when playing sports (e.g., wearing a helmet with a visor or face protector when playing hockey). An eye injury may include the following signs or symptoms: Pain and irritation in the eye. Redness of the eye. Difficulty opening the eye. Problems with vision. Watering of the eye. Deformities of the eye.
Care for Eye Injuries;1. Have the person lie on his or her back and keep as still as possible. 2. Stabilize the object with bulky dressings. 3. Cover both eyes with gauze or another light material. 4. Provide comfort and reassurance until EMS personnel arrive.If there is a foreign object in the eye but it is not impaled:1. Try to remove the foreign object by having the person blink several times. The eye will produce tears that may wash out the object. An object that is not touching the eye itself (e.g., in the corner of the eye) may be removed with a moist cotton-tipped applicator. 2. Clean away any dirt around the eye and then gently flush the eye with running water (letting the water run away from the unaffected eye). 3. If these steps do not remove the object, the person should seek medical attention.If there is a chemical or other caustic substance in the eye:1. Gently flush the eye with running water (away from the unaffected eye) for at least 15 minutes, or until EMS personnel arrive.If the eyes were flash burned (e.g., while welding):1. Cover the eyes with a cool, wet cloth. 2. Make sure the person gets medical attention
Ear Injuries;"The following tips can help prevent ear injuries:Wear proper protection when using loud equipment such as lawn mowers and chainsaws. Wear a helmet and other recommended safety gear when participating in sports and physical activities. Cover the ears when there is a risk of foreign objects or substances entering the ear (e.g., wear a swim cap when participating in water activities). An ear injury may be caused by the following: An impact to the head; Cuts or tears to the ear(s); Loud noises; Blast injuries; Foreign objects or substances in the ear. Signs and symptoms of an ear injury include the following: Blood or other fluid coming from within the ear; Hearing problems; Sudden or intense pain in the ear ; Swelling or deformity of the ear."
Care for Ear Injuries;1. If the injury is an external wound, treat it the same way you would treat a wound on any other part of the body.2. If there is a foreign object in the ear but you don’t suspect a head and/or spinal injury, and it looks as if the object can be easily removed: Tilt the head to the affected side, then gently tap the ear to loosen the object. Attempt to grasp the object and pull it out.
Impaled Objects;An impaled object is anything that has penetrated through the skin and is stuck in the tissues below. An object can become impaled when any type of force causes it to penetrate the skin and underlying tissue. An impaled object will be visibly protruding from the person’s body, and may cause the following signs and symptoms: , Shock , Pain , Bleeding
Care for Impaled Objects ;1. Keep the person still and leave the object in place. 2. Expose the object by carefully removing any clothing around it. 3. Check the circulation below the site of the injury. 4. Stabilize the object by using bulky dressings. 5. Use bandages to hold the dressings in place. Wrap the bandages snugly, but not so tightly as to cut off circulation. 6. Once the dressings are secure, recheck circulation below the site of the injury.  7. Make sure the person gets medical attention.
Amputations;An amputation is a complete or partial severing of a body part. Although this causes a lot of damage to the surrounding tissues, bleeding may or may not be severe. To reduce the risk of amputation: Keep hands clear of doors when they are closing. Use caution near train tracks: only cross at designated crossings, and never walk along the tracks. Be extremely careful when on or around any farm machinery, even when it is turned off or not operating. If the body part is still partially connected to the body, put it back into place as best you can and treat the injury as an open wound or fracture.
How to deal with Amputations;"1. Try to control the bleeding with direct pressure. If you are not successful, or you are unable to apply direct pressure, apply a tourniquet.2. Even if the body part has been fully amputated, there is still the possibility that it could be reattached as long as it is cared for properly. Remember to ""protect it, bag it, cool it, tag it:""PROTECT IT: Wrap the amputated part in gauze or a clean cloth.BAG IT: Place the amputated part in a plastic bag.COOL IT: Keep the amputated part cool by placing the bag on ice. Wrap the bag before cooling it so that the body part does not freeze.TAG IT: Label the container with the person’s name, the date, and the time. 3. Make sure the amputated part goes with the injured person to the hospital."
Crush Injuries;A crush injury occurs when there is a great deal of pressure on a part of the body, such as when a body part is squeezed between two heavy objects.If the person is still trapped under the object(s) or between two objects, it is likely that a crush injury has occurred. Other signs and symptoms of a crush injury include the following:Internal bleeding, Shock, Deformity, Pain.
How to deal with  Crush Injuries;1. If the object is restricting the person’s breathing, or the object is crushing the person’s head, neck, chest, or abdomen, remove the object if it can be safely removed. If it is crushing another body part, leave the object where it is until EMS personnel arrive.
How to deal with  Penetrating Chest Injuries;1. Have the person rest in a comfortable position. If the person wants to lie down, help the person into the recovery position with the injured side toward the ground. 2. If the wound is bleeding profusely, applying pressure or gauze dressings may be necessary to stop the bleeding. If bleeding is minor, do not apply pressure or a dressing.To avoid the build-up of air between the chest wall and the lung (tension pneumothorax), air must be able to exit an open chest wound. If you must apply a dressing, ensure that it does not become saturated with blood, as this will prevent air from escaping. If the dressing becomes saturated, it must be changed.
Chest Injuries;Chest injuries can impact the ribs and/or the organs they protect. They can involve open wounds or internal injuries. If ribs are broken, they can penetrate the skin or the lungs, causing additional injury. Injuries to the chest can result in conditions known as pneumothorax (air in the chest) or hemothorax (blood in the chest). 
Pneumothorax;Pneumothorax is a condition in which air enters the chest cavity from the wound site but doesn’t enter the lung. The air in the chest cavity presses against the lung, causing it to collapse.
Hemothorax;Hemothorax is a condition in which blood accumulates in the chest cavity from the wound site but doesn’t get into the lung. Because blood takes up space in the chest cavity, the lung can’t expand effectively.
Penetrating Chest Injuries;"Penetrating chest injuries cause varying degrees of internal and external bleeding. Additionally, if the object penetrates the ribcage, air can pass freely in and out of the chest cavity and the person can no longer breathe normally. This can result in a breathing emergency. The following are signs and symptoms of a penetrating chest injury: Difficulty breathing; Gasping; Bleeding from an open chest wound that may bubble at the injury site; A sucking sound coming from the wound with each breath; Severe pain at the site of the injury; Coughing up blood;"
Blunt Chest Injuries;"A blunt chest injury is caused by a crushing force that does not create a wound in the chest wall. The most common blunt chest injury is a broken rib. Incidents that may result in blunt chest injuries include motor vehicle collisions, falls, and sports injuries. If multiple ribs break in multiple places, this can produce a loose section of the ribcage that does not move normally with the rest of the chest during breathing. This is called flail chest. Normally, the loose section will move in the opposite direction to the rest of the chest. This is called paradoxical movement. Flail chest can also involve the sternum. The signs and symptom of a blunt chest injury include the following: Pain; Deformity or swelling; Guarded, shallow breathing; Bruising at the site"
Care for Blunt Chest Injuries;1. Keep the person as still as possible, as a blow to the chest may have caused head, neck, and/or spinal injuries. 2. Give the person something bulky (such as a towel) to hold against the chest, as this can make it easier to breathe.
Abdominal Wounds;The abdomen is the area immediately under the chest and above the pelvis. It is easily injured because it is not surrounded by bones. The abdomen contains important organs such as the liver, which can be easily damaged. Injuries to the abdomen are more likely to produce lifethreatening internal bleeding. The signs and symptoms of serious abdominal injuries include: Bruising,  Nausea and vomiting (sometimes vomit containing blood),  Pain, tenderness, or a tight feeling in the abdomen,  Distension in the abdomen, Organs possibly protruding from the abdomen.
Care for Abdominal Wounds;1. Do not apply direct pressure or attempt to push organs back into the abdomen. 2. Cover the protruding organs with moist, sterile dressings. 3. Loosely cover the dressings with plastic, if available. 4. Cover the person with a towel or blanket to keep him or her warm.
Blast Injuries;Blast injuries occur when pressure waves generated by an explosion strike and pass through the body’s surfaces. Blasts release large amounts of energy in the form of pressure and heat. Injuries can include loss of hearing, pneumothorax, internal bleeding, and organ damage. Thermal burns may also occur from exposure to heat. The extent of blast injuries may be difficult to identify because sometimes there are no visible external injuries, and indicators of internal injuries may not be apparent. A person with suspected blast injuries should be monitored and reassessed frequently while waiting for EMS personnel to arrive. There are four mechanisms of injury resulting from blasts: 1. Pressure or heat injuries from the blast itself. 2. Injuries from flying debris (shrapnel). 3. Trauma from being thrown by the blast. 4. Injuries or illnesses caused by hazardous material being dispersed by the blast.
Care for Blast Injuries;1. Keep the person still. 2. Treat any obvious external injuries. 3. Constantly monitor the person’s condition as it may change rapidly. 
The Neck and Spine;"The spine is a strong, flexible column of small bones called vertebrae; it supports the head and the torso. The spine surrounds and protects the spinal cord, which is a bundle of nerves that runs between the brain and the lower back. The spine is divided into four regions: 1. The cervical (neck) region, which consists of the C1 to C7 vertebrae. 2. The thoracic (chest) region, which consists of the T1 to T12 vertebrae. 3. The lumbar (lower back) region, which consists of the L1 to L5 vertebrae. 4. The sacrum (hip) and coccyx (tailbone) region, which consists of the S1 to S5 vertebrae and the four fused vertebrae that form the tailbone. Severe injuries can move or break the vertebrae so that they squeeze or cut the spinal cord, causing temporary or permanent paralysis, or even death. Damage can also occur if the injury causes the soft tissue of the spinal cord to swell, compressing it against the hard bone that surrounds it. Depending on the location and severity of the injury, the person may develop paralysis (the loss of movement, sensation or both) in body parts below the injury. Paraplegia is paralysis that affects both legs and the lower trunk. Quadriplegia is paralysis that affects both arms, the torso, and both legs. The higher up the spine the injury occurs, the more extensive the paralysis will be."
The Brain;The brain is the centre of the nervous system. It is the master organ that controls all body functions. The brain has the consistency of gelatin, but it is cushioned from everyday bumps and jolts by the cerebrospinal fluid inside the skull. Because the skull is hard, there is not much room for the brain to move or swell. Brain injuries can occur as a result of a blow to the head, a penetrating injury to the head (such as a bullet wound), or exposure to accelerationdeceleration forces that cause the head to snap forward and then back. A blow to the head can lead to a concussion (a traumatic brain injury that alters the way it functions), a brain contusion (bruising of the brain tissue) or a brain hematoma (bleeding into the space between the brain and the skull, which increases the pressure inside the skull and damages brain tissue).
Common symptoms of a head, neck, or spinal injuries;The signs and symptoms of a head, neck, or spinal injury depend on the nature and location of the injury. Bleeding inside the skull can happen slowly, so the signs may take time to appear. The severity of a head, neck, or spinal injury can only be determined through an evaluation by medical personnel: you should always assume that such an injury is serious. The following signs and symptoms alone do not always indicate a serious head, neck, or spinal injury, but you should call EMS/9-1-1 if any of these are present: Changes in level of responsiveness, awareness, and behaviour, Drowsiness, confusion, or disorientation,  Severe pain or pressure in the head, neck, or back, Blood or other fluids in the ears or nose , Heavy external bleeding from the head, neck, or back , Unusual bumps, bruises, or depressions on the head, neck, or back , Seizures , Impaired breathing or vision , Nausea or vomiting , Unequal pupil size , Persistent headache , Partial or complete loss of movement of any body part without an obvious traumatic cause (e.g., inability to move a limb that does not appear to be injured) , Back pain, weakness, tingling, or loss of sensation in the hands, fingers, feet, or toes , Unusually positioned neck or back , Dizziness and/or loss of balance , Bruising of the head, especially around the eyes and behind the ears , Loss of bladder or bowel control , Behaviour similar to that of a person under the influence of alcohol or drugs (e.g., stumbling, memory loss, speech problems)
Prevent from getting a head, neck, or spinal injuries;The following tips help to prevent head, neck, and spinal injuries: , Wear safety belts with shoulder restraints when in a vehicle. , Children and babies should always ride in approved safety seats. Make sure the seat is designed for the child’s age and weight and make sure it is properly installed. , Wear all recommended protective equipment for the activity you are engaged in (e.g., approved bicycle helmets). Never join in a new sport without knowing the rules and risks involved. , Prevent falls around the home and workplace with non-slip floors, non-slip treads on stairs, handrails on staircases, rugs secured with double-sided adhesive tape, and handrails by the bathtub and toilet if necessary. , Make sure that there is good lighting in stairways and hallways. , If there are small children present, put gates at the top and bottom of the stairways. , Make sure that your workplace is clean and tidy. Keep floors and aisles uncluttered and make sure that there is nothing blocking stairways, work sites, or exits. , Drink responsibly. Alcohol is often a factor in serious motor vehicle collisions and water injuries. Alcohol slows down your reflexes and gives you a false feeling of confidence. , Prescription drugs and common drugstore medications can make driving or operating machinery dangerous, so follow the directions on the package carefully. , Check equipment (such as warehouse forklifts, ladders, and scaffolding) regularly for worn or loose parts. , Use ladders carefully and correctly. , Always be very careful around water:Before diving, make sure that the water is deep enough, and check for objects below the surface, such as logs or pilings. Pools at homes, motels, or hotels may not be safe for diving. Enter unknown water feet first. Enter above-ground pools feet first.  When bodysurfing, keep your arms out in front of you to protect your head and neck.
How to deal with head, neck, or spinal injuries;It is imperative that a person with a head, neck, or spinal injury remain as still as possible, unless keeping him or her in the position found would actually put the person’s life at risk (if the scene is becoming unsafe, for example, or if you must roll the person over to put pressure on lifethreatening bleeding). As always, an unresponsive person should be rolled into the recovery position. The risk of further damage to the spine is less serious than the risk of the person’s airway being obstructed. You should take steps to discourage the person from moving reflexively. For example, if the person is lying on the ground, approach from a direction that allows the person to see you without turning his or her head. You should also tell the person to respond verbally to your questions rather than nodding or shaking his or her head. If the person is unresponsive, you must check his or her ABCs, but this can often be done without moving the person. If you can see chest movement or can hear the person moaning, crying, or coughing, that means the person is breathing. Do not attempt to remove a person’s helmet or remove a child from a car seat unless it prevents you from checking the ABCs or providing care for a life-threatening condition.1. Restrict movement of the head, neck, and spine as much as you can until EMS personnel arrive: If the person is responsive, instruct him or her to keep as still as possible. If the person is unable to do so, manually support the head in a position that limits movement. 2. Keep the person in the position he or she was found, unless the person is in immediate danger or has life-threatening conditions that need immediate attention. 3. If blood or other fluid is in the ear canal or draining from the ear: Let the ear drain. Do not apply direct pressure. Do not move the person unless it is absolutely necessary. Cover the ear loosely with a sterile dressing.
When to Move a Person with a Head, Neck, or Spinal Injury;You may need to move a person with a head, neck, and/or spinal injury in the following situations:  The person’s airway is blocked (for example, if the person vomits)  The scene of the emergency becomes dangerous  There is no organized EMS response in the region (for example, if the injury occurs in a very remote area) When moving the person, try to keep the head, neck, and spine in the position you found them. Avoid unnecessary jostling and move the person only as much as is necessary. Remember, it is more important to treat life-threatening conditions than it is to keep the person still. If the person has a potential spinal injury and is not breathing, opening the airway and starting CPR immediately are more important than protecting the spine from further damage.
Concussion;"A concussion is a subset of traumatic brain injuries (TBI) that involve a temporary alteration in brain function. An impact to the head or upper body can create forces that cause the brain to ""shake"" inside the skull. This shaking can cause the brain to collide with the bony structures that make up the skull’s inner shell (sometimes causing swelling and/or bleeding), or to rotate within the skull, which can shear or tear the brain nerve fibres and sometimes stretch and damage the brain cells. A concussion can result from even a seemingly minor bump, blow, or jolt, and may be difficult to recognize because the signs and symptoms may not be immediately obvious. Concussions are evolving injuries, with the effects intensifying, dissipating, or changing unexpectedly in the days and weeks following the event of the injury. Depending on the severity of the concussion, signs and symptoms can last for days, weeks, or even months. The majority of concussions, however, resolve in a short period of time. It is not fully known exactly what happens to brain cells in a concussion, but a change in the brain’s chemical function seems to be involved in the process. As a result, concussions are rarely visible in neuroimaging scans. The exact duration of this altered function is not yet known, but during the recovery period the brain is more susceptible to further injury. A person who has had one concussion is at increased risk for future concussions. As a result, it is critical that as soon as someone is suspected of having a concussion, they are removed from activity and seek care from a qualified medical professional. A person does not need to become unresponsive to have incurred a concussion. A concussion may be caused by:  A blunt force to the head or jaw  An explosion  Whiplash  A forceful blow to the body  Shaking (in the case of a baby)"
Signs ans syptoms of a concussion;"Thinking and Remembering: Confusion  Clouded or foggy mindset  Seeming stunned or dazed  Temporary memory loss regarding the event of the injury  Difficulty concentrating  Difficulty remembering or recalling events  Slowed reaction times. Physical: Neck pain, headache, or pressure within the head  Fatigue, low energy, or feeling ""foggy""  Short-term loss of responsiveness  Dizziness or loss of balance  Double or blurred vision, or ""seeing stars""  Ringing in the ears  Nausea or vomiting  Mumbled or indistinct speech  Sensitivity to light and/or noise  Not feeling “right”  Seizure or convulsion. Emotional:  Irritability  Sadness or depression  Heightened emotions  Nervousness or anxiety  Personality changes. Sleep: Drowsiness  Sleeping more or less than usual  Difficulty sleeping. Concussions are often left untreated because the symptoms are not always recognized by the person who has been injured, and the signs are not always obvious to others. There may also be personal or external pressures to continue participating in the activity at hand (e.g., workplace requirements, social events, or sporting activities), instead of avoiding such aggravating factors. Continued participation in activities that provoke symptoms during either the acute or the recovery stage can reaggravate the condition due to raised levels of exertion. To avoid this, it is important that the person seek medical attention following a blow to the head, neck, or upper body with any concussion symptoms. Cessation of physical activity and the promotion of cognitive rest (reducing ""screen time"" and other activities that require concentration) are critical to the resolution of concussion injuries."
Care for Concussions;If you think a person has sustained a concussion, advise the person to stop the activity he or she was engaged in when the incident occurred. If the person sustains an injury that causes a jolt or blow to the head or body, and then displays any signs and symptoms of a concussion, you should assume that a concussion has occurred. The person should follow up with a qualified healthcare provider as soon as possible for a full evaluation. A healthcare provider is best able to evaluate the severity of the injury and make recommendations about when the person can return to normal activities. While rare, permanent brain damage and death are potential consequences of failing to identify and respond to a concussion in a timely manner. Prompt recognition of when a potential concussion injury has occurred, immediate removal from the activity, and appropriate follow-up care are key elements in preventing catastrophic consequences. Anyone who exhibits more concerning signs and symptoms requires immediate medical evaluation. An injury that causes a concussion may also trigger bleeding in or around the brain, leading to symptoms like extended drowsiness and confusion. This type of bleeding can be lifethreatening. The person must be monitored in the immediate hours after the injury to ensure that the symptoms do not progress or worsen, as this can indicate additional brain injuries that require emergency care.
Follow-Up Care for Concussions;It is important that the person seek medical advice from a doctor, ideally one who specializes in concussions, since signs and symptoms can escalate in the days or weeks following the injury. A person who has suffered a concussion should not participate in any physical activities until a doctor gives permission to do so. Activities that require concentration (e.g., reading) and visual stimulation, such as working on a computer, texting, etc. should also be reduced to allow the brain the opportunity to recover from cognitive stressors. When given permission from a doctor, it is important to resume all of these activities gradually and be monitored by a medical professional. A person recovering from a concussion may not be able to effectively monitor his or her own symptoms, and may not make the best decisions about things like rest, sleep, and limiting visual stimulation. It is crucial that the person’s family members, caregivers, friends, or colleagues note any changes in his or her sleep habits or physical, cognitive, or emotional 115 behaviour, as any of these can indicate that the recovery phase has been compromised. These people can also have a positive impact on concussion recovery by supporting the person and encouraging him or her to follow the concussion recovery plan outlined by the doctor. Proper management of the person’s signs and symptoms by a qualified healthcare provider will help to avoid future problems that may lead to permanent issues and a diminished quality of life. If treated improperly, concussions can cause a wide range of functional long-term changes affecting thinking, sensation, language, and/or emotions. Concussions can also cause long-term neurological conditions, such as seizure disorders, and, in the most severe cases, death.
Shaken Baby Syndrome;Shaken Baby Syndrome (SBS) refers to a variety of injuries that may result when a baby or a young child is violently shaken. This causes the brain to move within the skull, forcing blood vessels to stretch and tear. SBS is most associated with babies and toddlers, but can occur in children up to 5 years old. SBS is the most common cause of mortality in babies. It is the most frequent cause of long-term disability in babies and young children, and it can cause permanent brain damage. SBS differs from other forms of physical abuse in that it is frequently a single event and there may be no obvious sign of injury. Often there is no intent to harm the baby. Inconsolable crying is the most common trigger that leads a person to shake a baby. When trying to console a crying baby, never shake the baby, no matter what. Instead, place the baby face-up in a safe place and let the baby cry. Take a few deep breaths and then try again to soothe the baby. Other common triggers are feeding problems and difficulties with toilet training. Feelings of anger and frustration can be overwhelming. However, shaking a child or baby is never appropriate. If you feel like you might lose control, stop! Take a break, never shake. Place the child in a safe place and take a time-out for as long as it takes you to feel calm. Talk to someone you trust about your feelings. If you ever feel you may hurt a baby, call for help: a family member, neighbour, or local crisis line can provide emotional support and help you to find a solution. 
Bones;Bones are strong, hard, dense, tissues that come in many different sizes and shapes. More than 200 bones make up the skeleton, creating the framework for the body. Muscles are soft tissues that can contract and relax. Most muscles are skeletal muscles, which are attached to bones by tendons and move the body when they receive signals from the brain. A joint is formed where two or more bones are held together by ligaments that allow movement. Bones, muscles, and joints have many jobs:  Supporting the body  Protecting internal organs  Allowing movement  Storing minerals  Producing blood cells  Producing heat through movement
Sprain;Occurs when a ligament is stretched, torn, or damaged. Ligaments connect bones together at the joints. Sprains most commonly affect the ankle, knee, wrist, and finger joints.
Strain;Occurs when a tendon or muscle is stretched, torn, or damaged. Tendons connect muscles to bones. Strains are often caused by overworking a muscle (e.g., by lifting an overly heavy object or by repetitively performing the same action). They usually involve the muscles in the neck, back, thigh, or the back of the lower leg.
Dislocation;Occurs when the bones that meet at a joint move out of their normal position. This type of injury is usually caused by a violent force that tears the ligaments, allowing the bones to move out of place.
Fracture;"A complete break, chip, or crack in a bone. Fractures can be open (if the end of the broken bone breaks through the skin) or closed (the broken bone does not break through the skin). Open fractures are also called ""compound fractures."
Muscle Cramps;A muscle cramp is a painful condition that can be caused by heavy exercise or staying in the same position for too long. You can usually stop the pain by stretching and massaging the area with the cramp, resting, or changing position. Bone, muscle, and joint injuries can occur in many ways. The causes include the following:  Falls  Awkward or sudden movements  Direct blows to the body  Repetitive actions or forces, such as jogging
